class,lbp_entropy,contrast
tuberculosis,2.9987314479735914,57.54922217636808
tuberculosis,2.945517945875311,38.882253472793444
tuberculosis,3.1319236885066344,52.96340094254126
tuberculosis,2.9582039314880566,66.69363797811984
tuberculosis,3.084660627834811,52.25108991959445
tuberculosis,2.7854551770050815,42.9460853045882
tuberculosis,2.974459636081434,42.47352701400727
tuberculosis,2.9116282738459986,59.351519420537095
tuberculosis,3.0718660963421573,57.06156562561138
tuberculosis,3.0395046701191637,80.08352380352085
tuberculosis,2.932206423944414,67.42991994983953
tuberculosis,2.978315184012056,58.0382096948337
tuberculosis,3.0551054548987437,38.75741605095685
tuberculosis,2.967558004814889,58.870380980091944
tuberculosis,2.984897674655768,73.81833115357759
tuberculosis,2.967731361277414,30.529454033713552
tuberculosis,2.822174682120958,65.92571157819738
tuberculosis,2.718123433220273,49.97307500437906
tuberculosis,2.911190540730678,59.303600367348494
tuberculosis,2.867671984073778,67.96630504473276
tuberculosis,3.0179240996381376,49.92309507213105
tuberculosis,2.9138362893379735,62.82922435061827
tuberculosis,2.9342282054998594,39.518927655882806
tuberculosis,2.906859346439308,54.473892746046324
tuberculosis,2.960677170317775,18.357687213682485
tuberculosis,2.924824153202746,28.10813153004619
tuberculosis,2.7353046709218902,92.32308005412919
tuberculosis,2.977004429708698,74.85914846131114
tuberculosis,2.8326077860160526,63.086208899419084
tuberculosis,2.9619527676262196,58.085150896586
tuberculosis,2.95377578534617,40.30485995667339
tuberculosis,3.055791114040736,60.184912296406615
tuberculosis,3.070036600163713,68.85704705830587
tuberculosis,2.882400681775534,64.36624644144618
tuberculosis,3.028899611169329,61.4725645739353
tuberculosis,3.147663780961116,41.226446776665796
tuberculosis,2.9959400759674617,63.11502995178114
tuberculosis,2.9415126448394227,47.09890024061444
tuberculosis,2.8868754959581784,57.487413852816736
tuberculosis,3.1269424852775938,55.02193885827701
tuberculosis,2.8077177830010855,41.067833301347605
tuberculosis,3.01003414529939,45.0723211399292
tuberculosis,2.9685290511220352,53.59392015143893
tuberculosis,3.0925554831403295,25.535235712300462
tuberculosis,2.990968674490461,52.5545298622666
tuberculosis,2.9127131830214306,42.75102998128835
tuberculosis,2.788738579710772,61.1855076943983
tuberculosis,3.0073150870871004,60.412457181744486
tuberculosis,3.0266625720299443,29.458129815535507
tuberculosis,2.7637188967509148,54.47072063465289
tuberculosis,3.1434535477571375,44.87076799170083
tuberculosis,2.876700254388872,53.33785377872027
tuberculosis,2.874155516480396,57.45298881496952
tuberculosis,2.937157912472583,40.38916079599129
