,width,height,aspect_ratio,channels,file_size,mean_intensity,std_intensity,min_intensity,max_intensity
count,25553.0,25553.0,25553.0,25553.0,25553.0,25553.0,25553.0,25553.0,25553.0
mean,776.8764137283293,674.1531718389231,1.1294653932790468,3.0,129424.16596877079,129.2093065330466,58.098574501032466,1.936367549798458,249.44906664579503
std,510.7829812950785,411.4637203667483,0.23000294049004696,0.0,191042.29763794036,22.922311244066798,11.459015774927401,8.956424403973962,13.328016910329696
min,144.0,124.0,0.5625,3.0,1043.0,5.4384765625,1.7578990321583272,0.0,13.0
25%,256.0,256.0,1.0,3.0,18636.0,113.85184308445179,50.58174758797974,0.0,252.0
50%,512.0,512.0,1.0,3.0,55460.0,126.99781799316406,59.472887729433495,0.0,255.0
75%,1024.0,1024.0,1.2132701421800949,3.0,157652.0,143.5207345971564,66.62862490857592,0.0,255.0
max,2916.0,2863.0,3.378787878787879,3.0,2261331.0,247.9745777027027,99.1197465477716,127.0,255.0
