class,split,mean_intensity,std_intensity,dynamic_range,underexposed,overexposed,low_dynamic_range
tuberculosis,train,132.54196166992188,57.54922217636808,230,False,False,False
tuberculosis,train,151.12848045023696,39.07446483717751,234,False,False,False
tuberculosis,train,149.36573791503906,53.30902662553386,249,False,False,False
tuberculosis,train,124.41505813598633,66.80150096484803,255,False,False,False
tuberculosis,train,122.0408935546875,52.25108991959445,255,False,False,False
tuberculosis,train,146.51828002929688,42.9460853045882,201,False,False,False
tuberculosis,train,142.0711270734597,42.761353310790184,191,False,False,False
tuberculosis,train,139.12015964673913,59.41156152216239,238,False,False,False
tuberculosis,train,122.37232971191406,57.542647530603176,255,False,False,False
tuberculosis,train,142.2837257385254,80.10985771629281,253,False,False,False
tuberculosis,train,104.77690887451172,67.51132658651666,246,False,False,False
tuberculosis,train,82.77328205108643,58.185062272282664,255,False,False,False
tuberculosis,train,164.5110321044922,38.75741605095685,205,False,False,False
tuberculosis,train,94.9683837890625,58.99334827895664,255,False,False,False
tuberculosis,train,118.08150863647461,73.85912753811505,252,False,False,False
tuberculosis,train,186.37164914099526,30.655673095544305,188,False,False,False
tuberculosis,train,141.45562744140625,65.92571157819738,248,False,False,False
tuberculosis,train,111.77064453125,50.03755458378441,255,False,False,False
tuberculosis,train,149.7157440185547,59.303600367348494,245,False,False,False
tuberculosis,train,154.61123091063348,68.03347821228822,246,False,False,False
tuberculosis,train,159.0993537902832,50.13668083373996,255,False,False,False
tuberculosis,train,110.626953125,62.93640350932227,253,False,False,False
tuberculosis,train,155.17009774881515,39.80407417095088,198,False,False,False
tuberculosis,train,142.03326416015625,54.473892746046324,199,False,False,False
tuberculosis,train,207.7089751184834,18.466750278094523,148,False,True,False
tuberculosis,train,125.02824401855469,28.10813153004619,186,False,False,False
tuberculosis,train,131.25250244140625,92.32308005412919,255,False,False,False
tuberculosis,train,138.3845977783203,74.85914846131114,255,False,False,False
tuberculosis,train,147.087158203125,63.086208899419084,251,False,False,False
tuberculosis,train,91.11664146505376,58.191414496002004,239,False,False,False
tuberculosis,train,158.43223571777344,40.30485995667339,219,False,False,False
tuberculosis,train,129.35296249389648,60.317273533194005,250,False,False,False
tuberculosis,train,140.57261657714844,68.91664378474496,252,False,False,False
tuberculosis,train,110.48370361328125,64.36624644144618,255,False,False,False
tuberculosis,train,118.02970886230469,61.54747275509979,255,False,False,False
tuberculosis,train,154.5727996826172,41.226446776665796,225,False,False,False
tuberculosis,train,161.79627990722656,63.11502995178114,255,False,False,False
tuberculosis,train,144.9869499206543,47.18671487746438,243,False,False,False
tuberculosis,train,80.48867607116699,57.729303982624934,255,False,False,False
tuberculosis,train,154.3910369873047,55.02193885827701,255,False,False,False
tuberculosis,train,158.4437255859375,41.067833301347605,220,False,False,False
tuberculosis,train,160.45255109597156,45.31588306304944,223,False,False,False
tuberculosis,train,162.34433364868164,53.73483558266873,251,False,False,False
tuberculosis,train,181.32204055786133,25.62185351999802,214,False,False,False
tuberculosis,train,82.23661191239316,53.04023438914133,237,False,False,False
tuberculosis,train,148.47702026367188,42.75102998128835,196,False,False,False
tuberculosis,train,76.0710556402439,61.21426658521281,205,False,False,False
tuberculosis,train,132.954833984375,60.412457181744486,241,False,False,False
tuberculosis,train,167.8436759478673,29.611758268952496,196,False,False,False
tuberculosis,train,85.54233530405405,54.503449385192056,186,False,False,False
